date,index,fluc,individual,foreigner,institution,financial investment,insurance,investment trust,other financial,bank,national?pension,private equity fund,nation,other corp
2018-02-07,2396.56 ,-0.0231 ,9264 ,-1961 ,-7394 ,-7142 ,343 ,554 ,-54 ,-31 ,-314 ,-255 ,-495 ,46 
2018-02-06,2453.31 ,-0.0154 ,1565 ,-2813 ,1078 ,-2176 ,626 ,1274 ,84 ,0 ,563 ,174 ,534 ,167 
2018-02-05,2491.75 ,-0.0133 ,4955 ,-4555 ,-419 ,-932 ,588 ,1191 ,-28 ,-68 ,-1329 ,311 ,-152 ,17 
2018-02-02,2525.39 ,-0.0168 ,7374 ,-4728 ,-2819 ,-1199 ,74 ,386 ,-41 ,-43 ,-961 ,-274 ,-761 ,76 
2018-02-01,2568.54 ,0.0008 ,2170 ,-2718 ,293 ,933 ,230 ,-122 ,19 ,37 ,-243 ,-82 ,-479 ,259 
2018-01-31,2566.46 ,-0.0005 ,7941 ,-6630 ,-1846 ,-654 ,192 ,498 ,-24 ,-22 ,-2087 ,-278 ,530 ,546 
2018-01-30,2567.74 ,-0.0117 ,2534 ,-1175 ,-1433 ,-829 ,-1 ,759 ,-57 ,-21 ,43 ,-818 ,-510 ,122 
2018-01-29,2598.19 ,0.0091 ,-7116 ,3246 ,3615 ,1208 ,1486 ,350 ,-74 ,40 ,497 ,335 ,-226 ,277 
2018-01-26,2574.76 ,0.0049 ,-3853 ,1832 ,1168 ,1833 ,1219 ,-1126 ,-57 ,-203 ,-121 ,-240 ,-137 ,876 
2018-01-25,2562.23 ,0.0095 ,-7154 ,3772 ,3002 ,3238 ,49 ,-886 ,-12 ,-33 ,-52 ,196 ,503 ,402 
2018-01-24,2538.00 ,0.0006 ,-2813 ,-143 ,2443 ,3594 ,-304 ,194 ,-56 ,-81 ,-706 ,-646 ,449 ,531 
2018-01-23,2536.60 ,0.0138 ,-5925 ,2163 ,3416 ,2565 ,141 ,371 ,63 ,76 ,-772 ,307 ,665 ,360 
2018-01-22,2502.11 ,-0.0072 ,2471 ,-1766 ,-730 ,-1124 ,-72 ,836 ,16 ,-140 ,512 ,-376 ,-382 ,26 
2018-01-19,2520.26 ,0.0018 ,-91 ,-808 ,414 ,-362 ,28 ,393 ,-20 ,9 ,-85 ,-160 ,611 ,491 
